track	layer	rank	expert	delta_W	A_W	A_S	A_Q	B_W	B_S	B_Q	A_tokens	B_tokens
generation_clean	3	3	42	0.009973489483631687	0.018288330369159014	0.09727626459143969	0.18800403619495468	0.008314840885527327	0.046875	0.17738327222458297	514	768
generation_clean	3	4	13	0.009950051380307717	0.0234709942613979	0.1828793774319066	0.12834139415275023	0.013520942881090181	0.13151041666666666	0.10281271418492337	514	768
generation_clean	3	5	188	0.007396851062938141	0.012947809615443184	0.06420233463035019	0.20167194370720598	0.0055509585525050425	0.032552083333333336	0.1705254467329549	514	768
generation_clean	3	6	14	0.007359738139611565	0.011176135733774403	0.06031128404669261	0.1853075408761304	0.0038163975941628374	0.028645833333333332	0.13322697055986632	514	768
generation_clean	3	7	117	0.007036792142422348	0.02210436095601873	0.10116731517509728	0.21849310637295435	0.015067568813596381	0.08072916666666667	0.18664343304583902	514	768
generation_clean	3	8	70	0.006911070715049003	0.0182976199218739	0.0914396887159533	0.20010588595411033	0.011386549206824899	0.061197916666666664	0.18606105937960685	514	768
generation_clean	3	9	228	0.006666232366550574	0.01036522940129623	0.06809338521400778	0.1522207974933218	0.003698997034745657	0.02734375	0.1352776058421269	514	768
generation_clean	3	10	2	0.006617495972820038	0.012072953430953761	0.08560311284046693	0.14103404689795984	0.005455457458133723	0.04296875	0.1269633735711121	514	768
generation_clean	3	11	214	0.00606260334340878	0.010345168126738248	0.07392996108949416	0.13993201097745947	0.004282564783329468	0.03515625	0.12181517605914932	514	768
generation_clean	3	12	171	0.005974616800196374	0.01095194255727108	0.07587548638132295	0.14434098652403424	0.004977325757074705	0.04296875	0.11583594489192041	514	768
